2023300	0 9 0	117912040	2023-11-10
2023299	9 2 0	112204102	2023-11-09
2023298	0 4 7	115617100	2023-11-08
2023297	2 2 6	119309932	2023-11-07
2023296	4 9 1	116862364	2023-11-06
2023295	7 9 5	114310280	2023-11-05
2023294	5 9 1	113554250	2023-11-04
2023293	8 1 0	117351840	2023-11-03
2023292	6 8 9	117374644	2023-11-02
2023291	5 8 3	113268036	2023-11-01
2023290	8 3 3	110695424	2023-10-31
2023289	8 6 6	114091610	2023-10-30
2023288	5 5 0	116448256	2023-10-29
2023287	3 0 9	116475844	2023-10-28
2023286	2 0 5	120163692	2023-10-27
2023285	5 9 1	114842668	2023-10-26
2023284	3 9 3	124205350	2023-10-25
2023283	9 4 8	121711872	2023-10-24
2023282	1 0 4	124511534	2023-10-23
2023281	6 8 4	121625930	2023-10-22
2023280	2 7 8	114813088	2023-10-21
2023279	7 9 2	120471626	2023-10-20
2023278	8 0 9	118852868	2023-10-19
2023277	9 2 0	121760222	2023-10-18
2023276	4 4 1	124171658	2023-10-17
2023275	7 3 9	119128814	2023-10-16
2023274	9 9 5	124766770	2023-10-15
2023273	4 7 5	122771384	2023-10-14
2023272	0 5 8	126255746	2023-10-13
2023271	1 7 9	123178848	2023-10-12
2023270	4 5 7	120023394	2023-10-11
2023269	6 6 5	121469752	2023-10-10
2023268	0 6 7	120954526	2023-10-09
2023267	4 7 8	116557312	2023-10-08
2023266	1 1 3	118818598	2023-10-07
2023265	3 5 6	116329862	2023-10-06
2023264	6 3 8	107931536	2023-10-05
2023263	3 3 5	116445032	2023-09-30
2023262	2 2 0	122199426	2023-09-29
2023261	7 2 3	125538202	2023-09-28
2023260	5 4 7	127413032	2023-09-27
2023259	0 8 6	125623656	2023-09-26
2023258	9 2 7	120564456	2023-09-25
2023257	6 9 4	117957726	2023-09-24
2023256	4 7 4	128420886	2023-09-23
2023255	5 6 4	130776472	2023-09-22
2023254	2 8 3	122980392	2023-09-21
2023253	7 2 1	123548836	2023-09-20
2023252	2 1 3	121006572	2023-09-19
2023251	5 0 3	120875092	2023-09-18
2023250	9 6 8	116308880	2023-09-17
2023249	0 7 6	117754292	2023-09-16
2023248	0 4 9	122704836	2023-09-15
2023247	5 6 9	116877564	2023-09-14
2023246	7 7 9	120505310	2023-09-13
2023245	7 6 8	118635498	2023-09-12
2023244	3 7 7	118181840	2023-09-11
2023243	8 4 8	119913380	2023-09-10
2023242	4 8 6	118511290	2023-09-09
2023241	4 9 5	119991626	2023-09-08
2023240	2 3 2	122295828	2023-09-07
2023239	7 3 1	118810806	2023-09-06
2023238	4 5 5	118563548	2023-09-05
2023237	0 9 6	117292880	2023-09-04
2023236	6 8 0	119448950	2023-09-03
2023235	4 8 0	119514220	2023-09-02
2023234	1 0 9	119576408	2023-09-01
2023233	9 2 8	116531326	2023-08-31
2023232	1 3 3	120195166	2023-08-30
2023231	0 4 9	114599022	2023-08-29
2023230	7 8 7	117853406	2023-08-28
2023229	1 4 2	117267202	2023-08-27
2023228	9 8 5	118927102	2023-08-26
2023227	2 0 6	123961542	2023-08-25
2023226	1 8 2	116415778	2023-08-24
2023225	7 9 8	118377766	2023-08-23
2023224	4 4 7	119811396	2023-08-22
2023223	3 0 9	122314502	2023-08-21
